,dice,ldice,lfpr,ltpr,precision,sensitivity,ntgt,npre,vtgt,vpre,vf1,lf1
0,0.8360450563203325,0.388059701434618,0.0624999999609375,0.25490196073433297,0.9670420575681125,0.7363041642210894,51,16,69857.0,53189.0,0.8360450563202645,0.40082219932512897
1,0.614319876213078,0.5490196077354863,0.2222222220987654,0.4242424241138659,0.8419185687840515,0.4835894937323455,33,18,22577.0,12968.0,0.6143198762129051,0.5490196077662437
2,0.7972746832415735,0.5567010308704432,0.08571428568979592,0.4354838708975026,0.9471404735699005,0.6883562527411212,62,35,38759.0,28169.0,0.7972746832414542,0.5899624444609578
3,0.7564534231158448,0.666666666111111,0.1999999996,0.571428570612245,0.8169696969597943,0.7042842215182415,7,5,957.0,825.0,0.7564534231115999,0.66666666625
4,0.7695053120848337,0.46153846118343195,0.12499999984374999,0.5999999988,0.9698713254519459,0.6377519433168337,5,8,29074.0,19118.0,0.7695053120846741,0.7118644059867852
5,0.4666438590473259,0.5624999998242187,0.3571428568877551,0.4999999997222222,0.6160794941227093,0.37555066079088356,18,14,1816.0,1107.0,0.46664385904572947,0.562499999921875
6,0.7269407542654754,0.5333333332740741,0.16666666662698412,0.4999999998958333,0.8980461701198127,0.6106022465253717,48,42,47273.0,32142.0,0.7269407542653838,0.6249999999297805
7,0.5318672368142295,0.6666666664646465,0.4210526313573407,0.7857142851530612,0.6752843846914411,0.43869667450306116,14,19,2977.0,1934.0,0.5318672368131465,0.6666666666115701
8,0.5374637954910748,0.8727272725685951,0.1290322580228928,0.9999999995833333,0.6504114599187736,0.45793991416210744,24,31,4660.0,3281.0,0.537463795490398,0.9310344826018133
9,0.7173273851765601,0.7647058821280277,0.1764705881314879,0.7647058819031142,0.9463616907424474,0.5775510204076918,17,17,12250.0,7476.0,0.7173273851761965,0.7930283222463346
10,0.7185908903258021,0.63076923072071,0.15555555552098765,0.4823529411197232,0.6782405403059327,0.7640460397963674,85,45,10252.0,11549.0,0.7185908903254726,0.613990147746415
11,0.49124343257228004,0.3999999999,0.30769230745562126,0.2962962961865569,0.6584507042176239,0.39175977653357713,27,13,1432.0,852.0,0.4912434325701293,0.4149855907129865
12,0.7440714409026251,0.5151515150734619,0.26923076912721894,0.42499999989375,0.9063276620145646,0.6310899313133936,40,26,37562.0,26155.0,0.7440714409025083,0.5374376039363955
13,0.7846702317283558,0.605263157815097,0.21428571420918366,0.47916666656684026,0.7737739497261843,0.7958777797852181,48,28,5531.0,5689.0,0.7846702317276566,0.5952941175919862
14,0.7669296307981978,0.6455696202123057,0.09259259257544582,0.490384615337463,0.8658971070253831,0.6882646125960247,104,54,26484.0,21051.0,0.7669296307980363,0.6366878980536506
