,dice,ldice,lfpr,ltpr,precision,sensitivity,ntgt,npre,vtgt,vpre,vf1,lf1
0,0.8441508342173109,0.3888888888348766,0.09523809519274376,0.27450980386774315,0.9623792857010203,0.7517929484517297,51,21,69857.0,54571.0,0.8441508342172429,0.42121931902310034
1,0.6256015399420802,0.642857142742347,0.21739130425330813,0.5454545452892562,0.8249927473159088,0.5038313327720672,33,23,22577.0,13788.0,0.6256015399419081,0.6428571427742347
2,0.8051779553562344,0.5686274509246444,0.12499999996875,0.46774193540842873,0.9394158323869201,0.7045073402304743,62,40,38759.0,29067.0,0.8051779553561156,0.6096096095531207
3,0.7410951621438538,0.5714285710204081,0.4285714279591837,0.571428570612245,0.7543290043208406,0.7283176593445316,7,7,957.0,924.0,0.7410951621399138,0.5714285713265307
4,0.7749958820621037,0.4999999995833333,0.2857142853061225,0.5999999988,0.9654252590535727,0.6473137511176146,5,7,29074.0,19494.0,0.7749958820619439,0.6521739125047259
5,0.4658447184256387,0.5454545452892562,0.39999999973333333,0.4999999997222222,0.5898734177165412,0.3849118942710082,18,15,1816.0,1185.0,0.4658447184240864,0.5454545453994489
6,0.7333366383262607,0.5333333332740741,0.190476190430839,0.4999999998958333,0.8854338131862194,0.6258329278868221,48,42,47273.0,33413.0,0.7333366383261697,0.618181818115427
7,0.5385223231913502,0.6857142855183673,0.4285714283673469,0.8571428565306122,0.6537170263757616,0.45784346657555314,14,21,2977.0,2085.0,0.5385223231902864,0.6857142856653061
8,0.5401317394479871,0.9056603771876113,0.10344827582639714,0.9999999995833333,0.6257772752950091,0.4751072961363195,24,29,4660.0,3538.0,0.5401317394473284,0.9454545452881542
9,0.7253973790419426,0.7999999997714285,0.2222222220987654,0.8235294112802768,0.9309374600320618,0.594204081632168,17,18,12250.0,7819.0,0.7253973790415811,0.7999999998367346
10,0.7182962245882608,0.6950354609436145,0.21428571424744897,0.5764705881674741,0.6543209876537964,0.7961373390550174,85,56,10252.0,12474.0,0.7182962245879447,0.6650215915786956
11,0.5031397174234571,0.47826086946124763,0.4210526313573407,0.40740740725651575,0.5743727598514842,0.4476256983208965,27,19,1432.0,1116.0,0.5031397174214824,0.478260869536862
12,0.753697313285563,0.5454545453719009,0.26923076912721894,0.4499999998875,0.8944058500910806,0.6512432777805626,40,26,37562.0,27350.0,0.7536973132854469,0.5570032572728888
13,0.7755102040809648,0.5925925925194331,0.30303030293847566,0.4999999998958333,0.7403814534680362,0.8141384921337658,48,33,5531.0,6082.0,0.7755102040802971,0.5822784809740692
14,0.7754909016139045,0.6826347304980458,0.14285714283446713,0.5480769230242234,0.8513385400203822,0.7120525600359794,104,63,26484.0,22151.0,0.775490901613745,0.6686217008474491
